timeTick, roll, pitch, yaw, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, otX0, otY0, otZ0, otRoll0, otPitch0, otYaw0, left wing, pitch motor, yaw motor, right wing, voltage, roll rate, pitch rate, yaw rate, A_x, A_y, A_z, current, i_raw, v_raw, airflow_voltage, airflow_speed, pot_Pitch, voltage_nKF, kFFx, volt_KF_vel, kP, volt_KF_pos
28293, -1.461357593536377, 0.4235314726829529, 0.12511971592903137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28303, -1.4645349979400635, 0.4267551898956299, 0.12638221681118011, 0.0, 0.0, -8.680838584899902, 0.0, 0.0, 1.0060310363769531, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.3556431531906128, -0.29903048276901245, 0.014930898323655128, 0.007211912889033556, -0.027489380910992622, 0.9993201494216919, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28313, -1.466771125793457, 0.43052440881729126, 0.1261957734823227, 0.0, 0.0, -8.676432609558105, 0.0, 0.0, 0.4405975341796875, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.3349226713180542, -0.48421305418014526, -0.028760971501469612, 0.009296971373260021, -0.02869477868080139, 0.9999105930328369, 0, 0, 0, 1.36376953125, 0.017181396484375, 0, 1.41357421875, 10.0, 1.3828763961791992, 1.5, 1.3828763961791992
28323, -1.4687165021896362, 0.4339365065097809, 0.12583954632282257, 0.0, 0.0, -8.672467231750488, 0.0, 0.0, 0.39653778076171875, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.058693550527095795, 0.009082258678972721, 0.04451897367835045, 0.009603399783372879, -0.026331715285778046, 0.9986772537231445, 0, 0, 0, 1.365234375, 0.0175933837890625, 1.49853515625, 1.390869140625, 10.0, 1.3828202486038208, 1.5, 1.3828202486038208
28333, -1.4683382511138916, 0.4350488781929016, 0.12643741071224213, 0.0, 0.0, -8.671085357666016, 0.0, 0.0, 0.13818740844726562, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.17470350861549377, -0.06065491959452629, 0.05106363818049431, 0.009218650870025158, -0.02574774995446205, 0.9983130097389221, 0, 0, 0, 1.39599609375, 0.0362701416015625, 1.49853515625, 1.37255859375, 10.0, 1.3828622102737427, 1.5, 1.3828622102737427
28343, -1.4681651592254639, 0.43713051080703735, 0.1259695589542389, 0.0, 0.0, -8.669841766357422, 0.0, 0.0, 0.124359130859375, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.0660289004445076, -0.14810985326766968, 0.10634619742631912, 0.00997988972812891, -0.027686534449458122, 0.9997684359550476, 0, 0, 0, 1.400390625, 0.04034423828125, 1.5, 1.39306640625, 10.0, 1.3829180002212524, 1.5, 1.3829180002212524
28353, -1.46926748752594, 0.43837523460388184, 0.12674227356910706, 0.0, 0.0, -8.66735553741455, 0.0, 0.0, 0.24862289428710938, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.14749592542648315, -0.17998699843883514, 0.24695250391960144, 0.010167413391172886, -0.027088280767202377, 0.9977853298187256, 0, 0, 0, 1.385009765625, 0.0276336669921875, 1.5, 1.35498046875, 10.0, 1.3829246759414673, 1.5, 1.3829246759414673
28363, -1.4696327447891235, 0.4341612160205841, 0.12713278830051422, 0.0, 0.0, -8.665117263793945, 0.0, 0.0, 0.22382736206054688, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.19257259368896484, 0.2631050944328308, 0.24572104215621948, 0.010557133704423904, -0.029553204774856567, 0.9981041550636292, 0, 0, 0, 1.35498046875, 0.01556396484375, 1.493408203125, 1.38427734375, 10.0, 1.3828357458114624, 1.5, 1.3828357458114624
28373, -1.4697903394699097, 0.43276888132095337, 0.12538418173789978, 0.0, 0.0, -8.651347160339355, 0.0, 0.0, 1.3770103454589844, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.08447989076375961, 0.10890932381153107, -0.18141095340251923, 0.009718788787722588, -0.030731327831745148, 0.9999099969863892, 0, 0, 0, 1.37255859375, 0.02044677734375, 1.493408203125, 1.361572265625, 10.0, 1.3828030824661255, 1.5, 1.3828030824661255
28383, -1.470981240272522, 0.43187230825424194, 0.12326320260763168, 0.0, 0.0, -8.638954162597656, 0.0, 0.0, 1.2392997741699219, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.23622943460941315, -0.040352366864681244, -0.14691054821014404, 0.009583380073308945, -0.028027331456542015, 0.9996883273124695, 0, 0, 0, 1.399658203125, 0.0396575927734375, 1.493408203125, 1.39306640625, 10.0, 1.3828567266464233, 1.5, 1.3828567266464233
28393, -1.4709419012069702, 0.43059924244880676, 0.12302090227603912, 0.0, 0.0, -8.630807876586914, 0.0, 0.0, 0.8146286010742188, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 8.271075248718262, -0.030364591628313065, 0.1955316662788391, 0.04701884090900421, 0.011009312234818935, -0.027467310428619385, 0.9989544749259949, -0.014154580421745777, 0.10376167297363281, 1.50439453125, 1.376220703125, 0.0222930908203125, 1.493408203125, 1.3916015625, 10.0, 1.3828356266021729, 1.5, 1.3828356266021729
